City,State,Restaurant Name,Latitude,Longitude,Population 2015,Population 2020,Population Growth
Anchorage,AK,McDonald's,61.229535,-149.742225,301010,291247,-3.24
Anchorage,AK,Subway,61.211375,-149.743723,301010,291247,-3.24
Anchorage,AK,Subway,61.108263,-149.856618,301010,291247,-3.24
Anchorage,AK,Subway,61.215546,-149.812281,301010,291247,-3.24
Anchorage,AK,Kumagoro Fine Japanese Restaurant and Sushi Bar,61.21157,-149.87608,301010,291247,-3.24
Anchorage,AK,Quiznos,61.096165,-150.09395,301010,291247,-3.24
Anchorage,AK,Subway,61.15354,-149.82892,301010,291247,-3.24
Anchorage,AK,Taco Bell,61.1383,-149.9504,301010,291247,-3.24
Anchorage,AK,Sweet Pink Pepper,61.2076,-149.8035,301010,291247,-3.24
Anchorage,AK,Saras Too,61.1959,-149.7777,301010,291247,-3.24
Anchorage,AK,Sorrento's Restaurant,61.1978,-149.8712,301010,291247,-3.24
Anchorage,AK,SUBWAY,61.224123,-149.733715,301010,291247,-3.24
Anchorage,AK,SUBWAY,61.192,-149.8682,301010,291247,-3.24
Anchorage,AK,Tastee Freez,61.15926,-149.95401,301010,291247,-3.24
Anchorage,AK,Panda Express,61.203697,-149.74467,301010,291247,-3.24
Anchorage,AK,SUBWAY,61.1809,-149.8299,301010,291247,-3.24
Anchorage,AK,SUBWAY,61.1953,-149.9088,301010,291247,-3.24
Anchorage,AK,Taco Bell,61.21122282,-149.7324163,301010,291247,-3.24
Anchorage,AK,SUBWAY,61.21157,-149.87608,301010,291247,-3.24
Anchorage,AK,KFC,61.1416,-149.8469,301010,291247,-3.24
Anchorage,AK,Acai Alaska,61.14373,-149.89478,301010,291247,-3.24
Anchorage,AK,McDonalds,61.14016,-149.870107,301010,291247,-3.24
Anchorage,AK,McDonald's,61.180978,-149.832147,301010,291247,-3.24
Anchorage,AK,Carl's Jr,61.1373,-149.84077,301010,291247,-3.24
Anchorage,AK,Subway,61.165314,-149.867431,301010,291247,-3.24
Anchorage,AK,Quiznos,61.221876,-149.734996,301010,291247,-3.24
Anchorage,AK,QDOBA Mexican Eats,61.1431,-149.8475,301010,291247,-3.24
Anchorage,AK,Subway,61.2219,-149.7785,301010,291247,-3.24
Anchorage,AK,Subway,61.1897,-149.8219,301010,291247,-3.24
Anchorage,AK,SUBWAY,61.210646,-149.828611,301010,291247,-3.24
Anchorage,AK,Subway,61.1391,-149.8351,301010,291247,-3.24
Anchorage,AK,Big Boy Burger/Express Market,61.18834,-149.9085,301010,291247,-3.24
Anchorage,AK,Sara's Too,61.195732,-149.77824,301010,291247,-3.24
Anchorage,AK,McDonald's,61.203697,-149.74467,301010,291247,-3.24
Anchorage,AK,Subway,61.1389389,-149.951375,301010,291247,-3.24
Anchorage,AK,Regal Cinemas Tikahtnu  16 IMAX & RPX,61.22662692,-149.7408595,301010,291247,-3.24
Anchorage,AK,Arby's,61.217082,-149.887645,301010,291247,-3.24
Anchorage,AK,Arby's,61.14323525,-149.86685425,301010,291247,-3.24
Anchorage,AK,McDonald's,61.195171,-149.898216,301010,291247,-3.24
Fairbanks,AK,Ak Buffet,64.84024,-147.71043,32469,32515,0.14
Fairbanks,AK,Pizza Hut,64.84024,-147.71043,32469,32515,0.14
Fairbanks,AK,Taco Bell,64.835505,-147.81325,32469,32515,0.14
