State,Region
AL,Southeast
AK,West
AZ,Southwest
AR,Southeast
CA,West
CO,West
CT,Northeast
DE,Northeast
FL,Southeast
GA,Southeast
HI,West
ID,West
IL,Midwest
IN,Midwest
IA,Midwest
KS,Midwest
KY,Southeast
LA,Southeast
ME,Northeast
MD,Northeast
MA,Northeast
MI,Midwest
MN,Midwest
MS,Southeast
MO,Midwest
MT,West
NE,Midwest
NV,West
NH,Northeast
NJ,Northeast
NM,Southwest
NY,Northeast
NC,Southeast
ND,Midwest
OH,Midwest
OK,Southwest
OR,West
PA,Northeast
RI,Northeast
SC,Southeast
SD,Midwest
TN,Southeast
TX,Southwest
UT,West
VT,Northeast
VA,Southeast
WA,West
WV,Southeast
WI,Midwest
WY,West
