state,city,population_2015
Alabama,Abernant,7599
Alabama,Alabaster,31545
Alabama,Albertville,21458
Alabama,Alexander City,14849
Alabama,Andalusia,9081
Alabama,Anniston,22457
Alabama,Arab,8284
Alabama,Athens,24522
Alabama,Atmore,10006
Alabama,Auburn,60258
Alabama,Bay Minette,9049
Alabama,Beauregard-Marvyn,10469
Alabama,Bessemer,26949
Alabama,Beulah,6187
Alabama,Big Sandy-Duncanville,8894
Alabama,Birmingham,212247
Alabama,Boaz,9689
Alabama,Bremen,8517
Alabama,Brook Highland,6746
Alabama,Calera,12972
Alabama,Center Point,16777
Alabama,Chelsea,11758
Alabama,Clanton,8727
Alabama,Clay,9700
Alabama,Cloverdale,6209
Alabama,Concord-Hopkins,7259
Alabama,Craig-Tyler,6843
Alabama,Cullman,15145
Alabama,Danville,6242
Alabama,Daphne,24395
Alabama,Decatur,55532
Alabama,Demopolis,7182
Alabama,Dothan,68409
Alabama,Enterprise,27772
Alabama,Eufaula,12781
Alabama,Fairfield,10988
Alabama,Fairhope,18089
Alabama,Florence,40215
Alabama,Foley,16243
Alabama,Forestdale,10162
Alabama,Fort Payne,14125
Alabama,Fultondale,8908
Alabama,Gadsden,36295
Alabama,Gardendale,13729
Alabama,Greenville,7902
Alabama,Greenwood,14409
Alabama,Gulf Shores,10963
Alabama,Guntersville,8358
Alabama,Hamilton,6790
Alabama,Hartselle,14459
Alabama,Helena,17883
Alabama,Homewood,25802
Alabama,Hoover,84353
Alabama,Hope Hull,8913
Alabama,Hueytown,15815
Alabama,Huntsville,188226
Alabama,Irondale,12444
Alabama,Jacksonville,12250
Alabama,Jasper,14109
Alabama,Laceys Spring,9055
Alabama,Lake Purdy,7362
Alabama,Lanett,6447
Alabama,Langdale,13528
Alabama,Leeds,11939
Alabama,Lincoln,6438
Alabama,Long Island,6081
Alabama,Madison Crossroads,10779
Alabama,Madison,46450
Alabama,Meadowbrook,8769
Alabama,Meridianville,6021
Alabama,Millbrook,15169
Alabama,Mobile,194675
Alabama,Monroeville,6189
Alabama,Montevallo,6601
Alabama,Montgomery,200481
Alabama,Moody,12457
Alabama,Morris Chapel,11091
Alabama,Mountain Brook,20734
Alabama,Muscle Shoals,13614
Alabama,Northport,24709
Alabama,Oneonta,6627
Alabama,Opelika,29171
Alabama,Opp,6677
Alabama,Oxford,21155
Alabama,Ozark,14700
Alabama,Pelham,22699
Alabama,Pell City,13573
Alabama,Phenix City,37540
Alabama,Pike Road,7933
Alabama,Pinson,7143
Alabama,Pleasant Grove,10325
Alabama,Prattville,35317
Alabama,Prichard,22312
Alabama,Rainbow City,9606
Alabama,Russellville,9806
Alabama,Saks,10744
Alabama,Saraland,13744
Alabama,Satsuma,6167
Alabama,Scottsboro,14748
Alabama,Selma,19814
Alabama,Semmes,17710
Alabama,Sheffield,9144
Alabama,Simcoe,7557
Alabama,Smiths-Salem,29351
Alabama,Smiths,24633
Alabama,Southside,8552
Alabama,Spanish Fort,7806
Alabama,Sylacauga,12703
Alabama,Talladega,16012
